id,subject,body,true_label
11,"ar : logos , letterheads , business cards , envelops","your business lacks visual identity ?
marketing efforts falling short ?
invisible among a sea of competitors ?
you ' re on the right track for a solution - keep reading . . .
our professional designers specialize in the creation of custom logos and business / corporate identities . our design needs to be seen only once to gain customer attention and recognition . with one of our unique , eye - catching mages you ' ll never have to introduce yourself twice !
we promise fast turnaround and 100 % customer satisfaction . choose from as any design ideas as necessary , select as many colors as you wish , order any modifications you like , and request any format . our prices are affordable for any size of business , and get this : there are no hidden fees .
follow the link below to browse our portfolio and check out our sweet deals .
wipe the "" in "" from "" invisible "" in just a few days - with us !
http : / / www . inner - logos . com /
sincerely ,
mayra brady
= = = = = =
you may unsubscribe here :
http : / / www . inner - logos . com / u . php",fraudulent
12,returned mail : response error,"the original message was received at tue , 19 jul 2005 11 : 57 : 45 + 0100 - - - - - the following addresses had permanent fatal errors - - - - - - - - - - transcript of session follows - - - - - . . . while talking to mailin - 02 . mx . aol . com > > > data < < < 554 transaction failed",fraudulent
13,Re: [opensuse] amavisd warning failure?,"Hylton Conacher (ZR1HPC) wrote:
> Sandy Drobic wrote:
>> Hylton Conacher (ZR1HPC) wrote:
>>
>>>> Next problem was the script to update the clamav signatures.
> 
> 
> 
>>>> I assume that What should I put my email address in place of
>>>> uukvq=runjplknii@example.com?
>> Yes.
> 
> When I run the script manually I get:
> 
> Umalusi:~ # /etc/cron.hourly/Clam-signature-update.sh
> /etc/cron.hourly/Clam-signature-update.sh: line 19: unexpected EOF while
> looking for matching `""'
> /etc/cron.hourly/Clam-signature-update.sh: line 24: syntax error:
> unexpected end of file
> Umalusi:~ #
> 
> Now what, as my script looks exactly like you wrote?

Can't be, I just did a simple copy-and-paste and ran the script. It worked.

In line 19 and line 24 you have a quotation mark at the beginning of a 
command, but no closing quotation mark.
By the way, when I pasted the script I had only 23 lines, how did you get 24 
lines? The first line is the shebang (#!/bin/sh). Please post the content of 
your script (including empty lines).

-- 
Sandy

List replies only please!
Please address PMs to: news-reply2 (@) japantest (.) homelinux (.) com",legitimate
14,Upsize your trouser snake into a python,Upsize your pecker with certified and approved medication http://www.millhere.com/,fraudulent
15,conference announcement / call for papers : celtic linguistics,"* * * * * * celtic linguistics conference * * * * * second posting and call for papers a conference on the formal linguistics of the celtic languages will be held in university college dublin on june 22-23 1995 . invited speakers include jim mccloskey ( university of california at santa cruz ) , ian roberts ( university of north wales , bangor ) , david adger ( university of york ) and james scobbie ( queen margaret college , edinburgh ) . abstracts are invited for 45 - minute talks ( 30 + 15 ) on all aspects of theoretically-oriented research on the celtic languages . please submit 4 copies of a 1 - page abstract ( 3 anonymous and one camera - ready copy with name , affiliation etc . ) to the address below . abstracts must be received by february 28th , 1995 [ please note extended deadline ] . the conference will be held on the belfield campus ( approximately 5 km from the city centre ) . accommodation will be available on campus . expressions of interest and requests for further information should be sent to either of the following addresses : chiosain @ ollamh . ucd . ie acquaviv @ ccvax . ucd . ie or to celtic linguistics conference department of linguistics university college dublin belfield , dublin 4 ireland",legitimate
16,G-spot location techniques for men,"Studies show women hate men with low libidos
http://www.waitscore.com/

--
Using Opera's revolutionary e-mail client: http://www.opera.com/mail/",fraudulent
17,schedule crawler : hourahead failure,start date : 1 / 12 / 02 ; hourahead hour : 5 ; hourahead schedule download failed . manual intervention required .,legitimate
18,"darden case study on "" the transformation of enron ""","shirley ,
please , provide this info .
vince
- - - - - - - - - - - - - - - - - - - - - - forwarded by vince j kaminski / hou / ect on 03 / 30 / 2000
02 : 33 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
enron north america corp .
from : sherri sera @ enron 03 / 30 / 2000 12 : 47 pm
to : lou l pai / hou / ees @ ees , gene humphrey / hou / ect @ ect , ken rice / enron
communications @ enron communications , andrew s fastow / hou / ect @ ect , vince j
kaminski / hou / ect @ ect
cc : karen owens / hou / ees @ ees , bert frazier / hou / ect @ ect , mercedes estrada / enron
communications @ enron communications , bridget maronge / hou / ect @ ect , mark
palmer / corp / enron @ enron , katherine brown / corp / enron @ enron , fabricio
soares / hou / ect @ ect
subject : darden case study on "" the transformation of enron ""
gentlemen ,
jeff has asked that each of you make time to meet with professors bruner and
bodily regardig the above referenced case ( i have attached a project overview
for your review ) .
they are scheduled to be in houston on tuesday , april 18 , to begin conducting
interviews ( some of which may be videotaped ) . please let me know your
availablility on that date .
thanks for your help , and please don ' t hesitate to call me ( x 3 - 5984 ) should
you need additional information . srs",legitimate
19,Just have a look at our NEW GIRLS today:,"*{font-family:verdana,sans,arial,tahoma;font-size:11pt;}Good morning !Hi! Sweet! Let's learn about? My name is CatLusia R., New York",fraudulent
20,The hottest femmes will long for you!,"Don't be shy in her bedroom anymore, 'cuz you'll get additional length!
Choose this simple way to evoke your masculinity!
http://dearbright.com/


Marin indicated that, since 1999, ""at least 247 retailsailors and marines shown on TV193 - Praetorian Guards assassinated Roman Emperor",fraudulent
21,Re: [opensuse] system seems hacked...,"Roger Oberholtzer wrote:
> On Fri, 2008-02-22 at 23:17 +0100, Wolfgang Woehl wrote:
>> Donnerstag, 21. Februar 2008 Pavol Rusnak:
>>
>>> Just for the record, emech is energymech* - IRC bot programmed in
>>> C, similar to eggdrop*, no exploit or rootkit fortunately.
>> Hi Pavol, I think what you say is naive at best. ""Botnet"" ring a bell?
>>
>>> Pavol RUSNAK                                       SUSE LINUX,
>>> s.r.o Package Maintainer                                Lihovarska
>> You seem to maintain tcpdump, libpcap, iptables and I sincerely hope 
>> that you don't take the same easygoing approach with those.
> 
> I think the hack is indeed as described. It was not really messing up my
> system. It used it as a stage to probe other systems. I got a visit from
> our IT department that there was a complaint about this server from some
> external site. I was not surprised. It seems that the password changes
> have resolved the issue. At least for now. I will have to keep watch for
> something else. But I do not think the system was compromised. In
> summary, I would say a user let someone use his account to run some
> unexpected software. 
> 

A user like that needs two weeks unpaid vacation, so that
in the future, he can think more clearly at work before
""loaning"" his account to some who wants to use it for
""unexpected software""",legitimate
22,eol average deal count by trader and product as of 7 - 23 - 01,"the following file contains a graphical view of the north american gas average deal count by trader and product for eol . this information is for comparative analysis only . do not update links when opening this file .
if you have any questions regarding this breakout , please let me know .
laura levy
enrononline
x 53551",legitimate
23,"Your payment didn't succeed, so your ads have been suspended.","--------------------------
-------------------------------
-------------------------------
Dear Advertiser,

We were unable to process your payment.

Your ads will be suspended soon unless we can process your payment.

To prevent your ads from being suspended, please update your payment information.

Please sign into your account and update your payment information.

We look forward to providing you with the most effective advertising available.

Thank you for advertising with Google AdWords.


--------------------------------------------------------
-----------------
--------------------",fraudulent
24,CNN Alerts: My Custom Alert,"CNN Alerts: My Custom Alert






 



Alert Name: My Custom Alert
Pepper spray fails to stop rapist

Fri, 8 Aug 2008 12:51:50 +0200

FULL STORY



You have agreed to receive this email from CNN.com as a result of your CNN.com preference settings.
To manage your settings click here.
To alter your alert criteria or frequency or to unsubscribe from receiving custom email alerts, click here.


Cable News Network. One CNN Center, Atlanta, Georgia 30303
Â© 2008 Cable News Network.
A Time Warner Company
All Rights Reserved.
View our privacy policy and terms.",fraudulent
25,tenaska iv oct 2000,"darren :
please change the demand fee as noted below . i did not calculate oct 2000 correctly . tenaska iv will return the money this month .
deal 529856 oct 2000 change demand fee from $ 2 , 349 , 906 . 50 to $ 2 , 221 , 567 . 44
thanks ,
megan",legitimate
26,this is scary ! ! !,"thirst ! as seen on television "" cryptosporidium "" is in a neighborhood near you ! this can actually happen that is why they made a television movie about it . they want to educate the public on parasites . parasites are the # 1 silent killer ! we have to do something to protect ourselves from this terrible menace . if you did n't get to see the movie let me just briefly explain what happened and why it is important to do something about it . a very small parasite by the name of "" cryptosporidium "" , got into the cities reservoir . it contaminated their drinking water and those people who drank the water became ill and many of them died . you see parasites need a "" host "" to live and multiply . we as humans can become that host . there are many different types of parasites and there are many ways that we can contract them . here are just a few sign of parasites ; chronic fatigue , bodily aches and pains , skin problems , headaches , constipation , arthritis , gas and bloating , loss of appetite , sexual dysfunction , uncontrollable weight , itchy ears , nose and anus , premature aging , forgetfulness , menopause , and pms to mention a few . it is scary to know just how easily it is to get contaminated by a parasite . we can contract them by eating uncooked meat and fish , from vegetables , casual contact , sexual contact , swimming in lakes and streams , we can contract them from our pets and from the air we breathe . these are just a few of the ways . can you even begin to understand the potential danger we are living with each and every day ? you have two choices you can ignore them and let them eat you alive . by doing this you know your ultimate fate . you are headed toward the path of sickness , disease and possibly death . you can however , choose to do something about it now and change all that ! i know the road my family and i are taking . i only hope that you do the same ! if you choose to live a healthier , more productive life , and wish to obtain additional information on what you can do to protect yourself and your loved ones call 1-813 - 677-2217 . this message is brought to you from someone who cares may god bless you !",fraudulent
27,no compromise ! ! wear only rolex ! ! [ scruple ],"thank you for expressing interest in replicas watches bazaar .
we would like to take this opportunity to offer you our fine
selection of italian crafted rolex timepieces .
you can view our large
selection of rolexes ( including breitling , tag heuer , cartier etc ) at :
replica watches bazaar
as we are the direct manufacturers , you are guaranteed of
lowest prices and highest quality each and every time you purchase from us .
you may also be interested to know
that we have the following brands available in our wide selection as well :
rado
bmw
franck muller
ulysse nardin
audemars piguet
vacheron constantin
officine
jaeger le coultre
longines
etc . . .
if you see anything that might interest you , or if you have
any questions , please don ' t hesitate to visit our website at :
replica watches bazaar
impassion syndic ravel circuitous bonfire epidermis banana dryad sixgun oatmeal asher
car piotr pimp ginsburg agnostic gator sanitarium whitcomb objector transmute short judicature fraught brest inefficient
yin geodetic rehabilitate thine salerno pacesetting lap exudation guitar dumpty venerable wilshire cosh cauliflower neva event chiffon downturn
deductible muscat chemic stable sneer bordello andes abridgment invigorate george dealt",fraudulent
28,re : apache deal 384247 10 / 00,"please follow are current practice and pay the lower price .
thanks
bob
enron capital management
from : david baumbach @ ect 11 / 21 / 2000 03 : 55 pm
to : megan parker / corp / enron @ enron
cc : daren j farmer / hou / ect @ ect , bob m hall / na / enron @ enron
subject : re : apache deal 384247 10 / 00
according to the contract brief i received , the 2 . 175 is a 1999 price . i
believe my pricing is correct . bob or darren may be able your questions
better .
dave
enron north america corp .
from : megan parker @ enron 11 / 21 / 2000 03 : 27 pm
to : david baumbach / hou / ect @ ect
cc :
subject : apache deal 384247 10 / 00
i got an invoice for the gas we bought from apache for tenaska iv and they
have a different price . for deal 384247 , we have a price of 2 . 285 and a
demand fee of 0 . 457 for 25 , 000 / day . apache is billing us at 2 . 175 with no
demand charge . can you verify this price for me and let me know which is
correct ?
thanks ,
megan",legitimate
29,TOP Legal advice.. for PENNIES a day!,|,fraudulent
30,Re: [Python-Dev] Reminder: last alphas next Wednesday 07-May-2008,"-On [20080502 11:00], Christian Heimes (lists@cheimes.de) wrote:
>Windows and Mac OS X have dedicated directories for application specific
>libraries. That is ~/Library on Mac and Application Data on Windows. The
>latter is i18n-ed and called ""Anwendungsdaten"" in German. Fortunately
>Windows sets an environment var to the application data directory.

And Vista has C:\\ProgramData\\{vendor}\\{application}, which is *not*
$APPDATA, but $ProgramData. $APPDATA points to
C:\\Users\\{user}\\AppData\\Roaming on Vista -- which is very different.

""Windows uses the Roaming folder for application specific data, such as
custom dictionaries, which are machine independent and should roam with the
user profile. The AppData\\Roaming folder in Windows Vista is the same as the
Documents and Settings\\username\\Application Data folder in Windows XP.""

I think that's different from what you meant above though, since I doubt
you'd want this (the libraries) to roam with the user.

See
http://download.microsoft.com/download/3/b/a/3ba6d659-6e39-4cd7-b3a2-9c96482f5353/Managing%20Roaming%20User%20Data%20Deployment%20Guide.doc
for more background.

-- 
Jeroen Ruigrok van der Werven  / asmodai
ã¤ã§ã«ã¼ã³ ã©ã¦ãã­ãã¯ ã´ã¡ã³ ãã« ã¦ã§ã«ã´ã§ã³
http://www.in-nomine.org/ | http://www.rangaku.org/ | GPG: 2EAC625B
Seek not death in the error of your life: and pull not upon yourselves
destruction with the works of your hands...
_______________________________________________
Python-Dev mailing list
Python-Dev@python.org
http://mail.python.org/mailman/listinfo/python-dev
Unsubscribe: http://mail.python.org/mailman/options/python-dev/python-dev%40tangomu.com",legitimate
